url,title,brand_name,product_type,volume_weight,short_description,old_price,current_price
https://www.guardian.com.vn/mat-na-ariul-7-days-hoa-sen-niacinamide-23ml.html,Mặt Nạ 7 Days Hoa Sen + Niacinamide Ariul 23Ml,ARIUL,Mặt nạ,23Ml,"Mặt Nạ 7 Days Hoa Sen + Niacinamide Ariul 23Ml Xếp hạng: 0 % of 100 	0 Đánh giá Thương hiệu:ARIUL SKU 3024073 28,000₫ So sánh Phân loại: Hoa Sen Hóa Đơn Từ 1.999k Tặng 1 Túi Tò He Xinh Xắn | 24.9 - 28.10 Áp dụng 29 thg 9, 2025 - 28 thg 10, 2025 [Hàng...",28,28
https://www.guardian.com.vn/kem-chong-nang-kiem-soat-nhon-khong-mau-la-roche-posay-anthelios-xl-spf50-uvb-uva-50ml.html,Kem Chống Nắng Kiểm Soát Nhờn Không Màu La Roche-Posay Anthelios Xl Spf50+ Uvb & Uva 50Ml,LA ROCHE-POSAY,Kem chống nắng,50Ml,"Kem Chống Nắng Kiểm Soát Nhờn Không Màu La Roche-Posay Anthelios Xl Spf50+ Uvb & Uva 50Ml Xếp hạng: 91 % of 100 	7  Đánh giá Thương hiệu:LA ROCHE-POSAY SKU 3016733 399,000₫ 590,000₫ -32 % So sánh Hóa Đơn Từ 1.999k Tặng 1 Túi Tò He Xinh Xắn | 24.9 -...",590,399
https://www.guardian.com.vn/garnier-nuoc-tay-trang-da-dau-mun-400ml.html,Nước Tẩy Trang Cho Da Dầu Mụn Micellar Water Garnier 400Ml,GARNIER,Tẩy trang,400Ml,"Nước Tẩy Trang Cho Da Dầu Mụn Micellar Water Garnier 400Ml Xếp hạng: 99 % of 100 	10  Đánh giá Thương hiệu:GARNIER SKU 3024480 161,000₫ 199,000₫ -19 % So sánh Phân loại: Dầu Mụn Tặng 2 Nước Tẩy Trang Garnier Blue 50Ml | 24.9 - 28.10 Áp dụng 24 thg ...",199,161
https://www.guardian.com.vn/mat-na-ariul-7-days-hoa-cuc-panthenol-23ml.html,Mặt Nạ 7 Days Hoa Cúc + Panthenol Ariul 23Ml,ARIUL,Mặt nạ,23Ml,"Mặt Nạ 7 Days Hoa Cúc + Panthenol Ariul 23Ml Xếp hạng: 0 % of 100 	0 Đánh giá Thương hiệu:ARIUL SKU 3024075 28,000₫ So sánh Phân loại: Hoa Cúc Hóa Đơn Từ 1.999k Tặng 1 Túi Tò He Xinh Xắn | 24.9 - 28.10 Áp dụng 29 thg 9, 2025 - 28 thg 10, 2025 [Hàng T...",28,28
https://www.guardian.com.vn/kem-chong-nang-duong-am-bom-green-uv-sun-off-spf50-pa-50ml.html,Kem Chống Nắng Dưỡng Ẩm Bom Green Uv Sun Off Spf50+ Pa++++ 50Ml,BOM,Kem chống nắng,50Ml,"Kem Chống Nắng Dưỡng Ẩm Bom Green Uv Sun Off Spf50+ Pa++++ 50Ml Xếp hạng: 0 % of 100 	0 Đánh giá Thương hiệu:BOM SKU 3019908 489,000₫ So sánh Tặng 1 BOM BỘ SẢN PHẨM DƯỠNG SÁNG DA, NGĂN NGỪA LÃO HÓA ( SACHET - 5PCS) | 24.9 - 28.10 Áp dụng 24 thg 9, 20...",489,489
https://www.guardian.com.vn/sua-rua-mat-cap-am-cho-da-kho-da-nhay-cam-simple-moisturing-facial-wash-150ml.html,Sữa Rửa Mặt Simple 150Ml,SIMPLE,Sữa rửa mặt,150Ml,"Sữa Rửa Mặt Simple 150Ml Xếp hạng: 100 % of 100 	1  Đánh giá Thương hiệu:SIMPLE SKU 3019366 95,000₫ 138,000₫ -31 % So sánh Phân loại: Dưỡng Ấm Hóa Đơn Từ 1.999k Tặng 1 Túi Tò He Xinh Xắn | 24.9 - 28.10 Áp dụng 29 thg 9, 2025 - 28 thg 10, 2025 [Hàng T...",138,95
https://www.guardian.com.vn/mat-na-giay-real-cica-calming-care-mask-some-by-mi-20gr.html,Mặt Nạ Giấy Real Cica Calming Care Mask Some By Mi 20Gr,SOME BY MI,Mặt nạ,20G,"Mặt Nạ Giấy Real Cica Calming Care Mask Some By Mi 20Gr Xếp hạng: 0 % of 100 	0 Đánh giá Thương hiệu:SOME BY MI SKU 3025242  19,000  - Giá ưu đãi Hội Cam  -30 % Tham gia Hội Cam ngay 22,000₫ 27,000₫ -19 % So sánh Phân loại: Cica Hóa Đơn Từ 1.999k Tặn...",27,22
https://www.guardian.com.vn/catalog/product/view/id/19347/s/guardian-bong-tay-trang-300mieng-96/category/29/,Bông Tẩy Trang Siêu Mềm Guardian 300 Miếng,GUARDIAN,Tẩy trang,—,"Bông Tẩy Trang Siêu Mềm Guardian 300 Miếng Xếp hạng: 100 % of 100 	8  Đánh giá Thương hiệu:GUARDIAN SKU 3024541 69,000₫ So sánh Phân loại: Gói 300 miếng Hóa Đơn Sản Phẩm Cosmetic Từ 199k Tặng 1 Nước Tẩy Trang Sen Hậu Giang Cocoon Dành Cho Da Rất Nh...",69,69
https://www.guardian.com.vn/olay-t-chat-duong-ban-dem-retinol-30ml.html,Serum Olay Retinol24 Giúp Mờ Nếp Nhăn 30Ml,OLAY,Serum/Tinh chất,24 G,"Serum Olay Retinol24 Giúp Mờ Nếp Nhăn 30Ml Xếp hạng: 100 % of 100 	2  Đánh giá Thương hiệu:OLAY SKU 3024407 396,000₫ 540,000₫ -27 % So sánh Phân loại: Retinol Tặng 1 Túi Chần Bông Đựng Mỹ Phẩm Olay Màu Đỏ | 24.9 - 28.10 Áp dụng 24 thg 9, 2025 - 28 ...",540,396
https://www.guardian.com.vn/sua-chong-nang-duong-da-tao-nen-trang-min-sunplay-skin-aqua-clear-white-cc-milk-spf50-pa-25gr.html,Sữa Chống Nắng Dưỡng Da Tạo Nền Trắng Mịn Sunplay Skin Aqua Clear White Cc Milk Spf50 Pa++++25Gr,SUNPLAY,Kem chống nắng,25G,"Sữa Chống Nắng Dưỡng Da Tạo Nền Trắng Mịn Sunplay Skin Aqua Clear White Cc Milk Spf50 Pa++++25Gr Xếp hạng: 0 % of 100 	0 Đánh giá Thương hiệu:SUNPLAY SKU 3016172 148,000₫ So sánh Tặng 1 TÚI XÁCH THỜI TRANG SKIN AQUA TONE UP UV | 24.9 - 28.10 Áp dụng ...",148,148
https://www.guardian.com.vn/tinh-chat-bb-chong-nang-trang-diem-d-program-allerdefense-bb-m-tong-tu-nhien-spf50-pa-30ml.html,Tinh Chất Bb Chống Nắng Trang Điểm D Program Allerdefense Bb M Tông Tự Nhiên Spf50+ Pa+++ 30Ml,D-PROGRAM,Kem chống nắng,30Ml,"Tinh Chất Bb Chống Nắng Trang Điểm D Program Allerdefense Bb M Tông Tự Nhiên Spf50+ Pa+++ 30Ml Xếp hạng: 100 % of 100 	1  Đánh giá Thương hiệu:D-PROGRAM SKU 3025123 580,000₫ So sánh Mua Hóa Đơn Sản Phẩm D-Program Từ 499k Tặng 1 Túi Chần Bông Anessa |...",580,580
